Posting Date,B/S Unit,B/S Unit Name,Department Code,Department Name,Amount
31/12/2021,24030,Garissa,1080,Sales Retail,35200
31/12/2021,24150,Wote,1080,Sales Retail,34462
31/12/2021,24020,Meru,1080,Sales Retail,33827
31/12/2021,24140,Isiolo,1080,Sales Retail,32567
31/12/2021,22010,Westlands,1080,Sales Retail,29677
31/12/2021,23110,Kericho,1080,Sales Retail,29250
31/12/2021,23040,Kisii,1080,Sales Retail,28575
31/12/2021,21010,Dundori Road,4090,Marketing,27591
31/12/2021,21010,Dundori Road,5020,Procurement,27500
31/12/2021,22020,Downtown,1080,Sales Retail,25877
31/12/2021,22040,Kiambu,1080,Sales Retail,25250
31/12/2021,25070,Mombasa Downtown,1080,Sales Retail,22700
31/12/2021,23090,Bungoma,1080,Sales Retail,21550
31/12/2021,25020,Malindi,1080,Sales Retail,13300
31/12/2021,23060,Kakamega,1080,Sales Retail,10750
31/12/2021,22080,Githurai,1080,Sales Retail,5500
31/12/2021,21010,Dundori Road,3210,Branch Management Support,4950
31/12/2021,21010,Dundori Road,3080,Technical Workshop,4150
31/12/2021,23080,Narok,1080,Sales Retail,3650
31/12/2021,21010,Dundori Road,4030,Credit Control,3400
31/12/2021,24090,Nyeri,1080,Sales Retail,3300
