Year,readig
1981,24.64
1982,24.57
1983,25.02
1984,24.53
1985,24.39
1986,24.62
1987,25.05
1988,24.93
1989,24.27
1990,24.67
1991,24.78
1992,24.68
1993,24.59
1994,24.76
1995,24.97
1996,24.84
1997,24.81
1998,25.02
1999,24.87
2000,24.92
2001,25.11
2002,25.39
2003,25.36
2004,25.05
2005,24.98
2006,25.12
2007,25.01
2008,24.96
2009,25.56
2010,25.42
2011,25.21
2012,24.92
2013,25.16
2014,25.12
2015,25.22
2016,25.56
2017,25.37
2018,25.02
2019,25.51
2020,25.43
