01-01-05,700
01-02-05,1100
01-03-05,1900
01-04-05,1500
01-05-05,1200
01-06-05,1800
01-07-05,2100
01-08-05,1600
01-09-05,2100
01-10-05,4300
01-11-05,4300
01-12-05,3000
01-01-06,4600
01-02-06,2700
01-03-06,2800
01-04-06,2000
01-05-06,5900
01-06-06,3800
01-07-06,4600
01-08-06,5400
01-09-06,3600
01-10-06,3600
01-11-06,3600
01-12-06,5800
01-01-07,2900
01-02-07,3700
01-03-07,5300
01-04-07,4100
01-05-07,2100
01-06-07,4600
01-07-07,4500
01-08-07,4100
01-09-07,4100
01-10-07,6100
01-11-07,3900
01-12-07,1900
01-01-08,5800
01-02-08,4900
01-03-08,7400
01-04-08,5100
01-05-08,5600
01-06-08,5000
01-07-08,5000
01-08-08,7700
01-09-08,6300
01-10-08,6600
01-11-08,6600
01-12-08,5900
01-01-09,6500
01-02-09,5400
01-03-09,6300
01-04-09,6100
01-05-09,7100
01-06-09,6900
01-07-09,8100
01-08-09,9200
01-09-09,9700
01-10-09,11100
01-11-09,7500
01-12-09,6800
01-01-10,7800
01-02-10,7500
01-03-10,8900
01-04-10,8400
01-05-10,8100
01-06-10,9600
01-07-10,10500
01-08-10,7800
01-09-10,8500
01-10-10,10600
01-11-10,12300
01-12-10,6900
01-01-11,11200
01-02-11,8900
01-03-11,11500
01-04-11,7635
01-05-11,8945
01-06-11,12468
01-07-11,11650
01-08-11,13442
01-09-11,12192
01-10-11,12191
01-11-11,17535
01-12-11,8420
01-01-12,10593
01-02-12,11952
01-03-12,12999
01-04-12,13227
01-05-12,10484
01-06-12,13138
01-07-12,14029
01-08-12,16003
01-09-12,10801
01-10-12,10041
01-11-12,12858
01-12-12,10790
01-01-13,10315
01-02-13,10315
01-03-13,9722
01-04-13,12330
01-05-13,15007
01-06-13,17650
01-07-13,18611
01-08-13,16791
01-09-13,13989
01-10-13,12996
01-11-13,17026
01-12-13,10432
01-01-14,16198
01-02-14,13035
01-03-14,18002
01-04-14,18066
01-05-14,16090
01-06-14,17314
01-07-14,15473
01-08-14,15800
01-09-14,24968
01-10-14,20495
01-11-14,18727
01-12-14,11330
01-01-15,15084
01-02-15,28209
01-03-15,25759
01-04-15,17961
01-05-15,28652
01-06-15,22545
01-07-15,19165
01-08-15,21420
01-09-15,19058
01-10-15,20237
01-11-15,15302
01-12-15,15989
01-01-16,21776
01-02-16,18081
01-03-16,24316
01-04-16,22891
01-05-16,22461
01-06-16,50051
01-07-16,20893
01-08-16,28971
01-09-16,24017
01-10-16,45524
01-11-16,19785
01-12-16,18977
01-01-17,28001
01-02-17,23796
01-03-17,27344
01-04-17,20454
01-05-17,20110
01-06-17,21072
01-07-17,24135
01-08-17,14141
01-09-17,22131
01-10-17,19731
01-11-17,27318
01-12-17,17791
01-01-18,23611
01-02-18,16011
01-03-18,25724
01-04-18,26220
01-05-18,28736
01-06-18,25960
01-07-18,16259
01-08-18,17061
01-09-18,20622
01-10-18,18020
01-11-18,19186
01-12-18,18361
01-01-19,19254
01-02-19,20018
01-03-19,23017
01-04-19,20377
01-05-19,20998
01-06-19,16610
01-07-19,20110
01-08-19,22069
01-09-19,17014
01-10-19,18142
01-11-19,15837
01-12-19,19641
01-01-20,23698
01-02-20,20207
01-03-20,25914
01-04-20,20180
01-05-20,21349
01-06-20,21887
01-07-20,20904
01-08-20,19512
01-09-20,22757
01-10-20,19230
01-11-20,24000
01-12-20,20271
01-01-21,25553
01-02-21,23432
01-03-21,27386
01-04-21,21967
01-05-21,21327
01-06-21,19019
01-07-21,24138
01-08-21,23135
01-09-21,23511
01-10-21,21870
01-11-21,22874
