Date,sales
10-11-20,2026.695435
11-11-20,2026.695435
12-11-20,2005.41272
13-11-20,2020.890991
16-11-20,2021.858398
17-11-20,2012.184448
18-11-20,2012.184448
19-11-20,1956.075439
20-11-20,1958.977661
24-11-20,1954.140625
25-11-20,1973.488647
26-11-20,1965.74939
27-11-20,1962.84729
30-11-20,1963.814697
01-12-20,1963.814697
02-12-20,1970.586426
03-12-20,1964.782104
04-12-20,1954.140625
07-12-20,1954.140625
08-12-20,1954.140625
09-12-20,1968.651611
10-12-20,1991.869141
11-12-20,2014.119263
14-12-20,2018.956299
15-12-20,2007.347534
16-12-20,1970.586426
17-12-20,1983.162598
18-12-20,1982.19519
21-12-20,1983.162598
22-12-20,1975.423462
23-12-20,1983.162598
24-12-20,1983.162598
25-12-20,1984.130005
28-12-20,1983.162598
29-12-20,1999.608276
30-12-20,1993.803955
04-01-21,2031.532349
05-01-21,2050.880371
06-01-21,2075.065186
07-01-21,2099.250244
08-01-21,2122.467773
12-01-21,2134.076416
13-01-21,2143.750488
14-01-21,2123.435059
15-01-21,2084.739258
18-01-21,2056.684814
19-01-21,2048.945557
20-01-21,2058.619385
21-01-21,2060.554199
22-01-21,2073.130371
25-01-21,2103.119629
26-01-21,2116.66333
27-01-21,2088.608887
28-01-21,2061.521729
29-01-21,2079.9021
01-02-21,2107.956787
02-02-21,2109.891602
03-02-21,2106.989258
04-02-21,2118.598145
05-02-21,2114.728516
08-02-21,2117.630615
09-02-21,2135.043701
10-02-21,2157.293945
12-02-21,2122.467773
15-02-21,2114.728516
16-02-21,2093.445801
17-02-21,2085.706543
18-02-21,2067.326172
19-02-21,2052.815186
22-02-21,2053.782471
24-02-21,2047.978149
25-02-21,2050.880371
26-02-21,2050.880371
01-03-21,2055.717285
02-03-21,2045.075928
03-03-21,2065.391357
04-03-21,2046.043335
05-03-21,2047.978149
08-03-21,2077
09-03-21,2055.717285
10-03-21,2038.304199
11-03-21,2062.489014
12-03-21,2050.880371
15-03-21,2050.880371
16-03-21,2052.815186
17-03-21,2074.0979
18-03-21,2075.065186
19-03-21,2103.119629
22-03-21,2094.413086
23-03-21,2085.706543
24-03-21,2088.608887
25-03-21,2082.804443
26-03-21,2084.739258
29-03-21,2077
30-03-21,2100
31-03-21,2100
01-04-21,2082
02-04-21,2085
05-04-21,2088
06-04-21,2094
07-04-21,2087
08-04-21,2078
09-04-21,2068
12-04-21,2055
13-04-21,2070
14-04-21,2074
15-04-21,2070
16-04-21,2075
19-04-21,2078
20-04-21,2063
21-04-21,2060
22-04-21,2053
23-04-21,2058
26-04-21,2064
27-04-21,2049
28-04-21,2044
30-04-21,2053
06-05-21,2041
07-05-21,2036
10-05-21,2047
11-05-21,2030
12-05-21,2030
13-05-21,1916
14-05-21,1845
17-05-21,1823
18-05-21,1795
19-05-21,1851
20-05-21,1781
21-05-21,1772
24-05-21,1843
25-05-21,1808
26-05-21,1765
27-05-21,1815
28-05-21,1789
31-05-21,1798
01-06-21,1819
02-06-21,1778
03-06-21,1783
04-06-21,1795
07-06-21,1813
08-06-21,1838
09-06-21,1836
10-06-21,1842
11-06-21,1844
14-06-21,1855
15-06-21,1882
16-06-21,1880
17-06-21,1850
18-06-21,1835
21-06-21,1815
22-06-21,1825
23-06-21,1828
24-06-21,1826
25-06-21,1845
28-06-21,1847
29-06-21,1848
30-06-21,1850
01-07-21,1850
02-07-21,1861
05-07-21,1876
06-07-21,1893
07-07-21,1907
08-07-21,1904
09-07-21,1900
12-07-21,1941
13-07-21,1946
14-07-21,1955
15-07-21,1919
16-07-21,1920
19-07-21,1904
20-07-21,1910
21-07-21,1910
26-07-21,1891
27-07-21,1887
28-07-21,1890
